slug,cat,sub,judet,loc,tel,web,lat,lng,tip,nume,adr,maps,name,phone,website,address,category,city,county,rating,reviews,google_maps_url,judet_key
acoperis-expert-bacau,Servicii,Acoperișuri,Bacău,Bacău,+40 749 331 101,https://facebook.com/acoperisexpertbacau,46.567,26.9146,Servicii construcții,Acoperiș Expert Bacău,,,Acoperiș Expert Bacău,+40 749 331 101,https://facebook.com/acoperisexpertbacau,,Acoperișuri,Bacău,Bacău,,,,bacau
benjamin-moore-paints-bacau-bacau,Servicii,Vopsele si finisaje,Bacău,Bacău,+40 744 681 286,,,,Servicii construcții,Benjamin Moore Paints Bacău,,,Benjamin Moore Paints Bacău,+40 744 681 286,,,Vopsele si finisaje,Bacău,Bacău,,,,bacau
cherestea-constructii-bacau,Materiale,Cherestea,Bacău,Bacău,+40 742 794 400,https://www.facebook.com/CheresteaConstructii/,,,Furnizor materiale,Cherestea Constructii,,,Cherestea Constructii,+40 742 794 400,https://www.facebook.com/CheresteaConstructii/,,Cherestea,Bacău,Bacău,,,,bacau
comelectro-bg-bacau,Servicii,Electrice construcții,Bacău,Bacău,+40 234 511 001,,,,Servicii construcții,Comelectro BG,,,Comelectro BG,+40 234 511 001,,,Electrice construcții,Bacău,Bacău,,,,bacau
conbac-sa-bacau,Servicii,Construcții metalice,Bacău,Bacău,+40 234 512 446,,,,Servicii construcții,Conbac SA,,,Conbac SA,+40 234 512 446,,,Construcții metalice,Bacău,Bacău,,,,bacau
construct-vision-bacau,Servicii,Construcții civile,Bacău,Bacău,+40 749 115 501,https://facebook.com/constructvision,46.567,26.9146,Servicii construcții,Construct Vision,,,Construct Vision,+40 749 115 501,https://facebook.com/constructvision,,Construcții civile,Bacău,Bacău,,,,bacau
fabrica-termopane-bacau-bacau,Materiale,Tâmplărie pvc aluminiu,Bacău,Bacău,+40 754 755 511,https://www.facebook.com/p/Fabrica-Termopane-Bacău-61560089224043/,,,Furnizor materiale,Fabrica Termopane Bacău,,,Fabrica Termopane Bacău,+40 754 755 511,https://www.facebook.com/p/Fabrica-Termopane-Bacău-61560089224043/,,Tâmplărie pvc aluminiu,Bacău,Bacău,,,,bacau
heidelberg-materials-romania-bacau,Materiale,Beton,Bacău,Bacău,+40 721 284 238,,,,Furnizor materiale,Heidelberg Materials Romania,,,Heidelberg Materials Romania,+40 721 284 238,,,Beton,Bacău,Bacău,,,,bacau
isoterm-bacau,Materiale,Izolații,Bacău,Bacău,+40 720 680 086,,,,Furnizor materiale,Isoterm,,,Isoterm,+40 720 680 086,,,Izolații,Bacău,Bacău,,,,bacau
m-m-solutii-termice-bacau,Materiale,Instalații sanitare termice,Bacău,Bacău,+40 758 887 766,,,,Furnizor materiale,M & M Soluții Termice,,,M & M Soluții Termice,+40 758 887 766,,,Instalații sanitare termice,Bacău,Bacău,,,,bacau
mold-beton-construct-bacau,Materiale,Beton,Bacău,Bacău,+40 745 112 201,https://facebook.com/moldbetonconstruct,46.567,26.9146,Furnizor materiale,Mold Beton Construct,,,Mold Beton Construct,+40 745 112 201,https://facebook.com/moldbetonconstruct,,Beton,Bacău,Bacău,,,,bacau
